Geographic Area Name,P_Covid_012221,T_Covid_012221,T_Pop,P_Educated,P_HSDropout,P_Disability,P_NotWhite,P_White,P_Black,P_Hispanic,P_Asian,P_NewMoms,P_Fertility,P_Essential,P_Vacant,P_SFR,P_MFR20+,MedianRooms,MHV,P_Female,P_Children,P_Seniors,P_Renter,P_MortgageStress,P_RentStress,P_HousingStress,P_NoCar,P_Unemployed,P_Transit,P_WorkatHome,MHI,P_Snap,P_PublicIns,P_NoHealthIns,P_Poverty,P_Poverty_Kids,P_Poverty_Seniors,P_FamilywithKids,P_SingleMoms,A_FamSize,P_OtherRel,P_Married,P_Foreign,P_NonEnglish,P_Internet,P_Veterans
North Valley Stream CDP,7.6,1453,19202,33.9,9.8,9.2,84.4,15.6,47.8,17.4,12.7,3.2,20.7,49.8,3.2,87.2,0.7,6.4,376900,52.6,19.1,16.6,11.5,35.1,35,25.4,6.1,6.5,17.3,2.1,113355,5.1,28.2,6.4,3.7,3.9,3.8,28.1,1.9,3.85,17.5,48.2,37.6,32.6,91.1,4.7
North Wantagh CDP,7.8,918,11802,40.4,5.6,10.4,15.5,84.5,0.3,11.3,2.5,3.9,13.3,37.3,1.9,94.8,0.6,6.7,428900,52.6,19.3,21.1,6.2,25.5,37.4,17.2,5.6,3.6,11.9,4.8,126029,2,28.6,1.8,2.9,1.5,3.4,27.3,0.9,3.32,8.6,62.9,7.9,12.5,88.5,5.7
Oceanside CDP,7.5,2331,31185,46.7,4.5,8.4,15,85,0.7,11.4,2.3,3.3,7.9,28.5,4.1,85.7,3.5,6.8,459100,51.0,21.1,17.1,11.4,31.2,62.6,23.3,6,5.2,17.3,4.1,114938,4.3,24.9,2.5,5.1,6.8,4.2,32.4,0.9,3.37,5.5,62,11.4,15.1,90.7,4.2
Old Bethpage CDP,6.3,349,5522,60.8,3.6,11.6,9.6,90.4,0.1,2,6.3,3.8,13.4,24.4,3.8,93.2,4.5,7.3,552900,51.4,21.8,17.7,7.8,16.6,29,10.5,7.7,1.3,11.1,6.3,136538,5.1,23.7,1.2,3.4,0.7,12.4,28.8,0.9,3.36,6.1,63.4,8.4,9.7,84.7,3.6
Old Brookville village,8.8,149,1695,72.7,2.8,5.1,21.7,78.3,1.8,1.4,16.8,0,13.1,27.4,13.4,95.9,0,,1735700,50.4,25.4,17.8,9.3,50.5,68.6,30,2.9,3.1,8.8,8.2,209375,0,19.3,2.5,2.5,3.3,0,36.7,1.2,3.43,10.6,58.8,18,25.5,97.5,4.4
Old Westbury village,4.4,208,4742,75.4,1.9,4.7,33.9,66.1,7.5,5.5,17.2,1.2,25.1,34.3,10.5,98.6,0,,1963500,52.8,19.0,12.8,6.5,55.4,13.5,29.5,4,5.7,10.8,11.2,190156,1.3,16.7,3.9,2,3.1,0.7,34.3,1.5,3.43,5.5,52.1,21.9,32,93.5,1.5
Oyster Bay CDP,7.6,472,6176,45.2,9.7,11.1,23.8,76.2,3,10.4,3.5,6.6,10.4,37.1,12.8,58.6,4.7,5.9,592200,52.3,21.5,22.2,38.4,26,52.6,29.9,3.7,4.6,8.1,3,96198,3.4,33.4,3.1,2.8,2,8.8,26.7,2.6,3.27,3.9,56.7,12.4,19.5,81.5,6.6
Oyster Bay Cove village,7.9,171,2170,73.6,1.3,5.3,21.5,78.5,2.4,6.8,11.6,0.5,11,22.9,5.3,97,0,,1506800,49.6,19.8,19.9,4.1,35.5,10,19,1.4,2.1,14.3,8,233750,1.5,19.5,1.1,0.6,0,1.9,29.8,0.6,3.07,5.9,71.4,16.7,22.6,98.5,5.2
Plainedge CDP,7.9,724,9206,40.1,5.9,8,18.1,81.9,0.3,9.5,7.9,5.7,12.3,48.7,2.5,92,0.6,6.7,415100,53.1,22.0,15.3,10.8,27.9,42.4,21.6,4.1,2.5,10.7,1.2,114953,1.3,20.1,1.7,3.2,3.2,1.6,34.3,1.8,3.44,3.7,61.5,11.4,12.2,90.4,5.2
Plainview CDP,6.2,1608,25902,64.1,3.6,8.5,22.4,77.6,0.7,4.6,15.2,4.4,10.6,24.9,5.2,89.9,2.6,7,567200,51.0,22.9,19.3,9.2,24.5,52,18.4,6.4,3.5,20,3.8,143534,3.1,25.6,2.2,4.3,2.9,4.9,35.2,0.9,3.25,5.1,68,17.7,20.4,89.3,4
Plandome Heights village,7.9,75,949,85.3,0.3,4.3,18.3,81.7,0,4.1,13.4,3.4,10.3,17.1,0.6,100,0,7.9,1145300,52.9,26.4,16.8,4.3,18.5,33.3,9.7,0.6,4.1,41.9,3.4,214063,0.9,18.7,1.6,1.4,0,5,41.9,1.5,3.15,2.2,71.8,13.1,19.6,93.3,2
Plandome Manor village,6.0,47,785,80.7,1.3,5.7,18.7,81.3,0,4.2,13.5,11.9,6.3,21.9,7.2,100,0,,1617500,51.8,29.6,19.0,1.5,31.9,0,14.3,4.6,6.2,29.8,6.6,213542,0,19,0,2.8,2.2,4,40.2,2,3.34,5.7,71.8,13.6,16.4,95,3.8
Plandome village,5.5,69,1251,84.2,0.9,4.5,9.6,90.4,0,4.6,4.2,1.7,8,10,5.5,100,0,,,50.4,31.2,15.8,0.8,33.3,0,17.7,0,6.9,39,4.9,0,0,19.8,0.8,1.7,2.6,0,48.6,0.7,3.36,0.6,71.7,8.6,14.2,96.2,6.3
Point Lookout CDP,9.9,100,1008,50.7,1.2,12.3,4.2,95.8,0,4.2,0,0,0,23.6,26.6,93,0,6,781300,42.4,17.4,28.1,25.7,24.2,0,10.2,0,8.9,35.4,1.6,154219,0,34.4,12.4,0,0,0,24.5,7.4,2.94,8.4,58.7,1.9,1,97.9,7.9
Port Washington CDP,4.9,770,15600,65.7,4.6,8.6,25.9,74.1,2.1,13.7,9.2,5.2,13.5,25.3,8.8,70,12.9,6.6,796800,52.4,23.3,24.0,27.7,31.9,44.7,24.8,7.9,3.4,28,8.1,127813,2.7,31,3.2,4.7,8,5.3,33.9,2.2,3.15,3.6,67,18.5,23.5,93,4.5
Port Washington North village,4.7,150,3209,56.3,11.0,9.5,25.7,74.3,0.4,17.3,6.9,4.7,7.5,27.7,2.3,65.5,4.5,6.6,782600,50.4,22.6,25.1,40.6,23.8,50.2,27.1,2.8,4.8,25.8,7.4,109519,3.5,30.1,5,6.5,2.5,5.2,25.7,0.8,3.22,6.2,62.1,22.4,25.2,92.4,4.3
Rockville Centre village,6.8,1665,24442,59.8,4.6,9.9,20.6,79.4,5.9,11.1,2.6,1.8,11.1,28.8,3,60.8,23.7,6.5,627200,52.2,23.5,18.1,30.2,23.2,57.5,27,11.3,3.4,25.7,5.5,114483,4.1,24.6,1.9,4.4,5.5,5.3,31.9,1.6,3.26,2.7,58.3,10.2,13.4,86.3,4.1
Roosevelt CDP,9.5,1544,16229,17.4,23.4,6.7,98.6,1.4,57.5,39.6,0.4,4.6,10.9,62.6,6.9,87.1,1.5,6.2,293400,51.5,23.4,11.4,27.1,42.9,56.6,37.1,10,7.1,15.4,1.8,77113,11.1,32.1,11.6,11.2,19.3,8.2,34.7,3.2,4.14,21.9,41,32.8,38.8,84.2,2.3
Roslyn Estates village,6.3,75,1188,77.3,1.6,6.9,10.5,89.5,0.3,0.3,9.8,1.3,17.8,23.4,7.7,100,0,,1146500,53.8,26.5,20.3,3.2,35.3,0,20.5,0,1.1,20,5.8,0,0,20.9,1.9,3.4,7.3,1.2,33.5,2.7,3.15,1.5,73.9,14.9,20.7,89.7,4.5
Roslyn Harbor village,8.7,81,936,75.6,1.1,4.9,15.6,84.4,0.6,3.3,9.9,4.9,22.4,16.7,11.4,94.8,0,,1081200,50.5,20.9,25.0,3.7,41.7,25,22.1,4.3,4.1,20.3,7.2,208750,0.6,27.4,2.5,2.4,4.6,0,30.4,2.4,3.21,4.4,67.6,19.9,27.2,95.4,3.5
Roslyn Heights CDP,7.3,483,6591,60.1,7.6,6.7,45.2,54.8,6.4,14,23.2,0.9,15.1,39.4,7,86.2,2.7,6.9,813300,51.3,25.8,15.1,19.2,41.2,60.6,33.7,5.7,4.9,19,6.9,129276,6.3,24,7.1,7.4,11,6.2,45.7,4.7,3.39,8.5,58.9,30.3,40.2,93.6,2.4
Roslyn village,8.3,236,2852,69.8,2.8,9.3,23.2,76.8,0.6,7.7,13.2,1.1,12,33.1,8.5,42.4,23.7,4.7,396200,61.0,16.8,27.7,30.4,27.2,44.6,24.1,12.7,1.7,9.7,6.9,105000,0.9,26,7.2,4.8,8.6,3,21.8,1.6,2.84,2.3,57.5,21,25.7,86.9,4.3
Russell Gardens village,4.0,37,932,76.2,5.7,9.1,29.8,70.2,0,4.2,23.8,3.3,6.5,21.9,4.4,72.3,24.5,7.7,1093800,50.5,20.2,22.0,18.8,25.2,37.5,18.8,6.8,2.6,31.4,7.2,180625,2.2,25.2,1.2,2.7,1.6,2.4,34.3,1.6,3.18,5.3,66.5,26.6,31.1,88.6,4.7
